Date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-08,2512.95,2555.0,2575.0,2475.2,2476.0,2494.65,2529.81,648.0,163932000000.0,,438.0,0.6759
2010-01-09,2506.85,2503.6666666666665,2555.0,2450.133333333333,2484.0,2496.0833333333335,2518.02,707.0,177885000000.0,,504.6666666666667,0.7083666666666666
2010-01-10,2500.75,2452.3333333333335,2535.0,2425.0666666666666,2492.0,2497.5166666666664,2506.23,766.0,191838000000.0,,571.3333333333334,0.7408333333333333
2010-01-11,2494.65,2401.0,2515.0,2400.0,2500.0,2498.95,2494.44,825.0,205791000000.0,,638.0,0.7733
2010-01-12,2498.95,2540.0,2540.0,2471.35,2505.0,2502.85,2485.22,68346.0,16985500000000.0,,67695.0,0.9905
2010-01-13,2502.85,2502.85,2540.0,2480.0,2489.8,2489.35,2491.94,1032.0,257168000000.0,,718.0,0.6957
2010-01-14,2489.35,2535.0,2595.0,2470.0,2560.0,2568.2,2510.27,330361.0,82929600000000.0,,329193.0,0.9965
2010-01-15,2568.2,2580.0,2580.0,2500.05,2524.8,2513.5,2548.35,8229.0,2097040000000.0,,7303.0,0.8875
2010-01-16,2549.9666666666667,2578.0,2578.0,2504.7000000000003,2530.55,2521.05,2543.82,5780.333333333334,1472633000000.0,,5098.333333333334,0.8517666666666667
2010-01-17,2531.733333333333,2576.0,2576.0,2509.35,2536.3,2528.6,2539.29,3331.666666666667,848226000000.0,,2893.666666666667,0.8160333333333333
2010-01-18,2513.5,2574.0,2574.0,2514.0,2542.05,2536.15,2534.76,883.0,223819000000.0,,689.0,0.7803
2010-01-19,2536.15,2567.0,2570.0,2531.0,2550.0,2556.1,2558.84,688.0,176048000000.0,,432.0,0.6279
2010-01-20,2556.1,2550.0,2575.0,2540.0,2541.0,2542.5,2552.32,641.0,163604000000.0,,549.0,0.8565
2010-01-21,2542.5,2539.9,2569.0,2499.9,2512.05,2526.2,2538.36,831.0,210938000000.0,,623.0,0.7497
2010-01-22,2526.2,2500.0,2530.0,2478.0,2530.0,2529.0,2516.42,681.0,171368000000.0,,357.0,0.5242
2010-01-23,2527.133333333333,2555.116666666667,2575.116666666667,2488.6666666666665,2526.6666666666665,2526.75,2520.5066666666667,1105.6666666666667,279031333333.3333,,520.0,0.49369999999999997
2010-01-24,2528.0666666666666,2610.233333333333,2620.233333333333,2499.3333333333335,2523.3333333333335,2524.5,2524.5933333333332,1530.3333333333335,386694666666.6666,,683.0,0.4632
2010-01-25,2529.0,2665.35,2665.35,2510.0,2520.0,2522.25,2528.68,1955.0,494358000000.0,,846.0,0.4327
2010-01-26,2525.625,2617.675,2620.125,2504.3,2527.575,2544.575,2538.0950000000003,3628.5,922524000000.0,,2372.0,0.58395
2010-01-27,2522.25,2570.0,2574.9,2498.6,2535.15,2566.9,2547.51,5302.0,1350690000000.0,,3898.0,0.7352
2010-01-28,2566.9,2568.0,2610.0,2535.5,2575.0,2586.85,2570.33,1048.0,269370000000.0,,750.0,0.7156
2010-01-29,2586.85,2526.0,2580.0,2526.0,2533.0,2533.0,2556.08,787.0,201163000000.0,,474.0,0.6023
2010-01-30,2568.9,2550.65,2586.65,2522.366666666667,2532.733333333333,2532.733333333333,2552.86,729.3333333333334,186225333333.33334,,434.0,0.5937
2010-01-31,2550.95,2575.2999999999997,2593.2999999999997,2518.733333333333,2532.4666666666667,2532.4666666666667,2549.64,671.6666666666666,171287666666.66666,,394.0,0.5851
2010-02-01,2533.0,2599.95,2599.95,2515.1,2532.2,2532.2,2546.42,614.0,156350000000.0,,354.0,0.5765
2010-02-02,2532.2,2599.1,2599.1,2540.0,2540.0,2560.1,2565.58,831.0,213200000000.0,,607.0,0.7304
2010-02-03,2560.1,2588.0,2600.0,2556.0,2560.0,2564.6,2579.62,8681.0,2239370000000.0,,8457.0,0.9742
2010-02-04,2564.6,2548.0,2583.8,2548.0,2582.0,2568.35,2566.97,442.0,113460000000.0,,362.0,0.8190000000000001
2010-02-05,2568.35,2582.0,2582.0,2442.0,2541.0,2549.1,2543.23,1651.0,419886000000.0,,1017.0,0.616
2010-02-06,2549.1,2455.0,2572.9,2455.0,2572.9,2566.4,2538.32,33.0,8376445000.0,,32.0,0.9697
2010-02-07,2557.75,2512.5,2622.45,2512.5,2622.425,2605.95,2590.205,4107.0,1084933222500.0,,2660.0,0.8080499999999999
2010-02-08,2566.4,2570.0,2672.0,2570.0,2671.95,2645.5,2642.09,8181.0,2161490000000.0,,5288.0,0.6464
2010-02-09,2645.5,2600.1,2824.0,2600.1,2805.0,2792.6,2743.1,8861.0,2430660000000.0,,4089.0,0.4615
2010-02-10,2792.6,2802.0,3244.0,2738.6,2740.0,2750.2,2797.05,44699.0,12502600000000.0,,28613.0,0.6401
2010-02-11,2750.2,2819.0,2819.0,2726.1,2737.0,2737.25,2764.79,31881.0,8814430000000.0,,28543.0,0.8953
2010-02-12,2746.9624999999996,2818.0,2818.0,2698.075,2732.75,2732.75,2754.1175,25036.75,6917330000000.0,,22011.5,0.805625
2010-02-13,2743.725,2817.0,2817.0,2670.05,2728.5,2728.25,2743.4449999999997,18192.5,5020230000000.0,,15480.0,0.71595
2010-02-14,2740.4875,2816.0,2816.0,2642.025,2724.25,2723.75,2732.7725,11348.25,3123130000000.0,,8948.5,0.6262749999999999
2010-02-15,2737.25,2815.0,2815.0,2614.0,2720.0,2719.25,2722.1,4504.0,1226030000000.0,,2417.0,0.5366
2010-02-16,2719.25,2792.0,2814.7,2697.05,2701.0,2701.85,2717.01,6120.0,1662810000000.0,,5057.0,0.8263
2010-02-17,2701.85,2705.15,2743.0,2681.4,2685.0,2688.75,2709.8,9981.0,2704650000000.0,,9134.0,0.9151
2010-02-18,2688.75,2688.75,2710.0,2645.0,2650.0,2651.5,2670.95,2203.0,588411000000.0,,1274.0,0.5783
2010-02-19,2651.5,2650.0,2685.0,2628.0,2640.0,2640.15,2644.35,7495.0,1981940000000.0,,5899.0,0.7871
